# Matrix with distances between cities
# The distance between city 'id1' and city 'id2' is found at row id1 and
# column id2 of the matrix, or vice versa as the matrix is symmetrical.
0,2164,1239,577,1789,1146,621,756,711,1501,2212,1768,1864,357,1481,1974,1515,2148,669,912,430,2014,1297,1744,1125,1458,936,1094
2164,0,1877,1803,745,1125,2137,2855,2874,2469,563,1446,2851,2391,2368,860,1795,2232,1496,2606,2095,4160,1051,526,2408,2387,1283,1598
1239,1877,0,1500,1972,1497,1759,1471,1676,2603,2234,2362,1007,1138,505,1219,2336,3010,1055,2143,831,2963,858,1748,2278,2541,1350,1863
577,1803,1500,0,1296,688,355,1318,1204,1105,1737,1192,2314,932,1869,1846,953,1608,505,838,878,2385,1184,1319,810,1041,524,517
1789,745,1972,1296,0,645,1575,2540,2481,1752,446,705,2977,2092,2474,1371,1059,1498,1189,2005,1872,3674,1140,297,1744,1671,858,945
1146,1125,1497,688,645,0,1012,1895,1843,1460,1069,866,2470,1449,1974,1342,930,1569,561,1482,1244,3071,810,631,1317,1379,214,545
621,2137,1759,355,1575,1012,0,1239,1050,883,2021,1327,2479,956,2072,2199,979,1560,841,483,1027,2104,1532,1637,522,837,870,672
756,2855,1471,1318,2540,1895,1239,0,309,2024,2955,2507,1642,464,1450,2514,2210,2795,1378,1265,781,1492,1885,2474,1629,2004,1682,1827
711,2874,1676,1204,2481,1843,1050,309,0,1768,2912,2363,1942,556,1718,2625,2028,2576,1378,991,898,1336,1967,2452,1377,1756,1639,1688
1501,2469,2603,1105,1752,1460,883,2024,1768,0,2148,1163,3361,1821,2948,2798,714,892,1589,787,1908,2414,2202,1946,396,82,1439,915
2212,563,2234,1737,446,1069,2021,2955,2912,2148,0,1019,3237,2500,2739,1388,1437,1756,1584,2448,2255,4118,1376,504,2174,2070,1276,1386
1768,1446,2362,1192,705,866,1327,2507,2363,1163,1019,0,3324,2119,2833,2027,455,798,1368,1637,2003,3380,1639,979,1280,1090,1025,679
1864,2851,1007,2314,2977,2470,2479,1642,1942,3361,3237,3324,0,1586,503,2096,3234,3907,1965,2739,1454,2950,1862,2754,2990,3312,2299,2760
357,2391,1138,932,2092,1449,956,464,556,1821,2500,2119,1586,0,1263,2078,1872,2501,918,1154,343,1888,1433,2014,1433,1784,1235,1449
1481,2368,505,1869,2474,1974,2072,1450,1718,2948,2739,2833,503,1263,0,1653,2765,3440,1485,2387,1053,2889,1363,2253,2593,2893,1809,2290
1974,860,1219,1846,1371,1342,2199,2514,2625,2798,1388,2027,2096,2078,1653,0,2243,2817,1376,2679,1738,3961,682,1075,2615,2719,1374,1886
1515,1795,2336,953,1059,930,979,2210,2028,714,1437,455,3234,1872,2765,2243,0,675,1284,1215,1826,2958,1738,1284,836,639,1004,475
2148,2232,3010,1608,1498,1569,1560,2795,2576,892,1756,798,3907,2501,3440,2817,675,0,1960,1644,2486,3306,2377,1777,1227,867,1670,1151
669,1496,1055,505,1189,561,841,1378,1378,1589,1584,1368,1965,918,1485,1376,1284,1960,0,1310,684,2677,698,1096,1314,1520,355,810
912,2606,2143,838,2005,1482,483,1265,991,787,2448,1637,2739,1154,2387,2679,1215,1644,1310,0,1342,1744,2007,2096,417,787,1351,1063
430,2095,831,878,1872,1244,1027,781,898,1908,2255,2003,1454,343,1053,1738,1826,2486,684,1342,0,2230,1105,1757,1544,1859,1033,1367
2014,4160,2963,2385,3674,3071,2104,1492,1336,2414,4118,3380,2950,1888,2889,3961,2958,3306,2677,1744,2230,0,3299,3700,2132,2448,2886,2769
1297,1051,858,1184,1140,810,1532,1885,1967,2202,1376,1639,1862,1433,1363,682,1738,2377,698,2007,1105,3299,0,895,1978,2126,765,1316
1744,526,1748,1319,297,631,1637,2474,2452,1946,504,979,2754,2014,2253,1075,1284,1777,1096,2096,1757,3700,895,0,1884,1864,817,1074
1125,2408,2278,810,1744,1317,522,1629,1377,396,2174,1280,2990,1433,2593,2615,836,1227,1314,417,1544,2132,1978,1884,0,379,1242,811
1458,2387,2541,1041,1671,1379,837,2004,1756,82,2070,1090,3312,1784,2893,2719,639,867,1520,787,1859,2448,2126,1864,379,0,1362,835
936,1283,1350,524,858,214,870,1682,1639,1439,1276,1025,2299,1235,1809,1374,1004,1670,355,1351,1033,2886,765,817,1242,1362,0,555
1094,1598,1863,517,945,545,672,1827,1688,915,1386,679,2760,1449,2290,1886,475,1151,810,1063,1367,2769,1316,1074,811,835,555,0
